Book Name,Author,Rating,Customers_Rated,Price
Goodnight Moon,Margaret Wise Brown,4.9 out of 5 stars,"16,491",$5.00
A Gambling Man (An Archer Novel),David Baldacci,4.5 out of 5 stars,155,$17.40
Caste (Oprah's Book Club): The Origins of Our Discontents,Isabel Wilkerson,4.8 out of 5 stars,"27,092",$18.75
Crystals for Beginners: The Guide to Get Started with the Healing Power of Crystals,Karen Frazier,4.8 out of 5 stars,"16,445",$8.99
Greenlights,Matthew McConaughey,4.7 out of 5 stars,"34,963",$16.95
Love You Forever,Robert Munsch,4.9 out of 5 stars,"34,662",$5.00
The Good Sister: A Novel,Sally Hepworth,4.5 out of 5 stars,"1,683",$16.79
On the House: A Washington Memoir,John Boehner,4.3 out of 5 stars,554,$17.99
My First Library : Boxset of 10 Board Books for Kids,Wonder House Books,4.6 out of 5 stars,"21,239",$14.97
Untamed,Glennon Doyle,4.6 out of 5 stars,"47,307",$15.50
"How to Do the Work: Recognize Your Patterns, Heal from Your Past, and Create Your Self",Dr. Nicole LePera,4.8 out of 5 stars,"1,822",$16.79
"Unsettled: What Climate Science Tells Us, What It Doesn’t, and Why It Matters",Steven E. Koonin,-1,0,$22.46
Where the Crawdads Sing,Delia Owens,4.8 out of 5 stars,"129,386",$9.98
How to Win Friends & Influence People,Dale Carnegie,4.7 out of 5 stars,"44,089",$10.40
Magnolia Table,Joanna Gaines,4.8 out of 5 stars,"22,578",$16.59
The Date Night Cookbook,Ned Fulmer,-1,0,$30.00
"The Lighter Step-By-Step Instant Pot Cookbook: Easy Recipes for a Slimmer, Healthier You―With Photographs of Every Step",Jeffrey Eisner,4.9 out of 5 stars,500,$13.22
"Song of Achilles, The",Madeline Miller,4.7 out of 5 stars,"17,681",$10.35
"From Crook to Cook: Platinum Recipes from Tha Boss Dogg's Kitchen (Snoop Dogg Cookbook, Celebrity Cookbook with Soul…",Snoop Dogg,4.8 out of 5 stars,"15,918",$12.74
Chicka Chicka Boom Boom (Board Book),Bill Martin Jr.,4.9 out of 5 stars,"23,072",$4.59
Philip Roth: The Biography,Blake Bailey,4.4 out of 5 stars,42,$24.00
Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century (Think and Grow Rich Series),Napoleon Hill,4.7 out of 5 stars,"47,179",$7.96
The Invisible Life of Addie LaRue,V. E. Schwab,4.6 out of 5 stars,"22,626",$16.19
The World Needs More Purple People,Kristen Bell,4.8 out of 5 stars,"7,671",$10.15
What to Expect When You're Expecting,Heidi Murkoff,4.8 out of 5 stars,"18,023",$9.89
Vegetable Simple: A Cookbook,Eric Ripert,3.4 out of 5 stars,20,$21.00
Grumpy Monkey,Suzanne Lang,4.8 out of 5 stars,"13,335",$6.97
"Goodnight, Goodnight Construction Site (Board Book for Toddlers, Children's Board Book)",Sherri Duskey Rinker,4.9 out of 5 stars,"12,972",$7.66
"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",Paulo Coelho,4.7 out of 5 stars,"53,117",$8.89
"Goodbye, Again: Essays, Reflections, and Illustrations",Jonny Sun,4.5 out of 5 stars,5,$16.99
"The Code Breaker: Jennifer Doudna, Gene Editing, and the Future of the Human Race",Walter Isaacson,4.7 out of 5 stars,"1,696",$21.00
Midnight Sun,Stephenie Meyer,4.8 out of 5 stars,"69,850",$13.32
From Blood and Ash (Blood And Ash Series),Jennifer L. Armentrout,4.7 out of 5 stars,"16,007",$14.25
Ocean Prey (A Prey Novel),John Sandford,4.7 out of 5 stars,"4,461",$18.98
Crying in H Mart: A Memoir,Michelle Zauner,4.7 out of 5 stars,13,$16.24
The Vanishing Half: A Novel,Brit Bennett,4.4 out of 5 stars,"57,565",$16.20
The Intelligent Investor: The Definitive Book on Value Investing. A Book of Practical Counsel (Revised Edition),Benjamin Graham,4.7 out of 5 stars,"22,773",$14.29
"Dude Perfect 101 Tricks, Tips, and Cool Stuff",Dude Perfect,-1,0,$22.99
The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle,4.7 out of 5 stars,"28,239",$8.51
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.6 out of 5 stars,"48,614",$13.76
Batman/Fortnite: Zero Point,Christos Gage,-1,0,$15.97
Think Again: The Power of Knowing What You Don't Know,Adam Grant,4.6 out of 5 stars,"2,884",$16.80
Paint by Sticker Kids: Zoo Animals: Create 10 Pictures One Sticker at a Time!,Workman Publishing,4.8 out of 5 stars,"14,194",$5.01
"What Happened to You?: Conversations on Trauma, Resilience, and Healing",Oprah Winfrey,-1,0,$20.27
"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",Valorie Schaefer,4.8 out of 5 stars,"17,464",$7.53
What Should Danny Do? (The Power to Choose Series),Adir Levy,4.8 out of 5 stars,"16,367",$13.19
"1984 (Signet Classics), Book Cover May Vary",George Orwell,4.7 out of 5 stars,"43,597",$7.48
"National Geographic Road Atlas 2021: Adventure Edition [United States, Canada, Mexico]",National Geographic Maps,4.8 out of 5 stars,"4,874",$18.57
Madam Speaker: Nancy Pelosi and the Lessons of Power,Susan Page,3.9 out of 5 stars,9,$23.79
It Ends with Us: A Novel,Colleen Hoover,4.7 out of 5 stars,"14,483",$10.59
The Hero Code: Lessons Learned from Lives Well Lived,Admiral William H. McRaven,4.7 out of 5 stars,110,$13.60
The Nightingale: A Novel,Kristin Hannah,4.8 out of 5 stars,"65,439",$8.18
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6 out of 5 stars,"25,661",$9.97
Blood and Treasure: Daniel Boone and the Fight for America's First Frontier,Bob Drury,4.1 out of 5 stars,22,$20.99
"21st Birthday (Women's Murder Club, 21)",James Patterson,4.7 out of 5 stars,227,$18.78
"Six of Crows (Six of Crows, 1)",Leigh Bardugo,4.6 out of 5 stars,"9,479",$7.99
Let That Sh*t Go: A Journal for Leaving Your Bullsh*t Behind and Creating a Happy Life (Zen as F*ck Journals),Monica Sweeney,4.7 out of 5 stars,"18,002",$8.99
The Wonderful Things You Will Be,Emily Winfield Martin,4.9 out of 5 stars,"14,981",$10.76
